CCCM Site ID,Site Name,Alternate Site Name,Settlement Type,Region,Zone,Woreda,Lat,Long,CCCM Agency-2024
ABA - TI-0001,Abergele-Yechila ,Mekelakeya camp,ABA,Tigray,Central,"Abergele Yechila
",13.287397,38.993903,PAD
ABA - TI-0002,Abi Adi DIC,Abi Adi City,ABA,Tigray,Central,Abi Adi Town,13.62568,39.000462,OSSHD
ABA - TI-0003,Adwa Debrichi Kebele,,ABA,Tigray,Central,Adwa Town,14.16125,38.90166,IOM
ABA - TI-0004,Adwa DIC ,Adwa YMCA ,ABA,Tigray,Central,Adwa Town,14.164871,38.885014,OSSHD
ABA - TI-0005,Adwa Hayelom Kebele,,ABA,Tigray,Central,Adwa Town,14.16722,38.88355,IOM
ABA - TI-0006,Adwa Miebale Kebele,,ABA,Tigray,Central,Adwa Town,14.16722,38.88355,IOM
ABA - TI-0007,Axum DIC,"Mahberawi Guday Atsede Hitsanat, Axum City",ABA,Tigray,Central,Axum Town,14.121133,38.731484,OSSHD
ABA - TI-0008,Hadnet DIC,Hadnet Sub City,ABA,Tigray,Mekelle,Hadnet Sub City,13.480669,39.468494,OSSHD
ABA - TI-0009,Kedamay Woyane DIC,Kedamay Woyane Sub City,ABA,Tigray,Mekelle,Qedamay Weyane Sub City,13.495275,39.468597,OSSHD
ABA - TI-0010,Maichew DIC,Maichew Youth center ,ABA,Tigray,Southern,Maichew City,12.787298,39.538486,OSSHD
ABA - TI-0011,Mekoni DIC,,ABA,Tigray,Southern,Mekoni City,12.796606,39.647099,OSSHD
ABA - TI-0012,Quiha DIC,Quiha Sub City,ABA,Tigray,Mekelle,Quiha Sub City,13.474416,39.540355,OSSHD
ABA - TI-0013,Semen DIC,Semen Sub City,ABA,Tigray,Mekelle,Semen Sub City,13.51192,39.482327,OSSHD
ABA - TI-0014,Sheraro DIC,,ABA,Tigray,North Western,Sheraro Town,14.39451,37.77339,OSSHD
ABA - TI-0015,Shire  Kebele 02,,ABA,Tigray,North Western,Indasilassie Town,14.105125,38.285483,IOM
ABA - TI-0016,Shire DIC,Kebele 04 Security bureau Shire ,ABA,Tigray,North Western,Indasilassie Town,14.099279,38.286408,OSSHD
ABA - TI-0017,Shire Kebele 03,,ABA,Tigray,North Western,Indasilassie Town,14.10126,38.285088,IOM
