Region,Zone,Woreda,Education,ESNFI,Health,Agriculture,Nutrition,Protection,WASH
Afar,Kilbati /Zone2,Abaala,,,HPA,,, FHI 360 ,"CARE, CRS, ERCS"
Afar,Kilbati /Zone2,Abaala town,,,,," ACF, FHI 360, PUI "," Alight, CARE, FHI 360, GOAL ",
Oromia,Horo Gudru Wellega,Abe Dongoro,,,FIDO,,,,
Amhara,Wag Hamra,Abergele (AM),,DPO,,"FAO, WHH"," ACF, CARE "," ACF, FHI 360 ",ACF
Gambela,Agnewak,Abobo,,,,,,,PI
Somali,Shabelle,Adadle,"OWDA, SCI",,OWDA,,, ACF ,
Amhara,North Gondar,Addi Arekay,,,PI,, PI , PI ,AEID
Dire Dawa,Dire Dawa urban,Addis Ketema (DD),,,MTI,,,,
Somali,Siti,Afdem,SCI,,,,,,
Addis Ababa,Region 14,Akaki Kality,,IOM,,,,,
South Ethiopia,Amaro,Amaro,Imagine 1 Day,,IOM,,,,
South West Ethiopia,Konta,Ameya Zuria,,,,,,,RWB
Afar,Gabi /Zone 3,Amibara,,,,,,,WV
Oromia,Horo Gudru Wellega,Amuru,,FIDO,,,,,WV
Oromia,East Borena,Arero,,,,, GOAL ,,
Amhara,North Shewa (AM),Assagirt,,,,SHA,,,
Afar,Gabi /Zone 3,Awash Fantale,,,HPA,,,,
Afar,Fanti /Zone 4,Awra (AF),,,,,," GOAL, WV ",
Somali,Siti,Ayisha,,IOM,,,,,
Somali,Fafan,Babile (SM),SCI,,IOM,, OWDA ,,
Amhara,Bahir Dar town Admin,Bahir Dar town,,,MTI,,,,
Amhara,Bahir Dar town Admin,Bahirdar Zuria,,,,,,,AEID
Oromia,West Wellega,Begi,,PAD,,,,,ACF
South Ethiopia,South Omo_Pas,Bena Tsemay,,,,"CRS, FAO",,,
Afar,Kilbati /Zone2,Berahile,,,,, GOAL ," Alight, EPSSolution, FHI 360, GOAL ",FIDO
Oromia,Bale,Berbere,,,,FAO,,,RWB
South West Ethiopia,West Omo,Bero,,,,,,,RWB
Somali,Shabelle,Berocano,,OWDA,,FAO,,,
Somali,Jarar,Bilcil-Bur,,,,,,,IOM
Oromia,West Hararge,Boke,,,,FAO, GOAL ,,
Somali,Doolo,Bokh,,,OWDA,,,,
